id_category,avatar,name,price,immediate_purchase_price,posted_date_time,end_date_time,description,judge_point,pricing_step,starting_price,url_img
Electronics,https://example.com/avatar1.jpg,iPhone 14 128GB,7124438,8549325,2025-11-11T10:00:00,2025-11-18T10:00:00,"Sản phẩm iPhone 14 128GB chất lượng cao, hàng chính hãng.",7,500000,5699550,https://example.com/product1_1.jpg;https://example.com/product1_2.jpg
Electronics,https://example.com/avatar2.jpg,Samsung Galaxy S23,11532236,13838683,2025-11-11T11:00:00,2025-11-18T11:00:00,"Sản phẩm Samsung Galaxy S23 chất lượng cao, hàng chính hãng.",5,200000,9225788,https://example.com/product2_1.jpg;https://example.com/product2_2.jpg
Electronics,https://example.com/avatar3.jpg,MacBook Air M2,17923934,21508720,2025-11-11T12:00:00,2025-11-18T12:00:00,"Sản phẩm MacBook Air M2 chất lượng cao, hàng chính hãng.",2,500000,14339147,https://example.com/product3_1.jpg;https://example.com/product3_2.jpg
Fashion,https://example.com/avatar4.jpg,Nike Air Max,19863642,23836370,2025-11-11T13:00:00,2025-11-18T13:00:00,"Sản phẩm Nike Air Max chất lượng cao, hàng chính hãng.",4,500000,15890913,https://example.com/product4_1.jpg;https://example.com/product4_2.jpg
Electronics,https://example.com/avatar5.jpg,Sony WH-1000XM5,5727244,6872692,2025-11-11T14:00:00,2025-11-18T14:00:00,"Sản phẩm Sony WH-1000XM5 chất lượng cao, hàng chính hãng.",3,500000,4581795,https://example.com/product5_1.jpg;https://example.com/product5_2.jpg
Fashion,https://example.com/avatar6.jpg,Adidas Ultraboost,3061666,3673999,2025-11-11T15:00:00,2025-11-18T15:00:00,"Sản phẩm Adidas Ultraboost chất lượng cao, hàng chính hãng.",6,200000,2449332,https://example.com/product6_1.jpg;https://example.com/product6_2.jpg
Books,https://example.com/avatar7.jpg,Kindle Paperwhite,15234094,18280912,2025-11-11T16:00:00,2025-11-18T16:00:00,"Sản phẩm Kindle Paperwhite chất lượng cao, hàng chính hãng.",8,200000,12187275,https://example.com/product7_1.jpg;https://example.com/product7_2.jpg
Toys,https://example.com/avatar8.jpg,LEGO Star Wars Set,9456432,11347718,2025-11-11T17:00:00,2025-11-18T17:00:00,"Sản phẩm LEGO Star Wars Set chất lượng cao, hàng chính hãng.",2,200000,7565145,https://example.com/product8_1.jpg;https://example.com/product8_2.jpg
Home,https://example.com/avatar9.jpg,Dyson V12 Vacuum,13703800,16444560,2025-11-11T18:00:00,2025-11-18T18:00:00,"Sản phẩm Dyson V12 Vacuum chất lượng cao, hàng chính hãng.",6,100000,10963040,https://example.com/product9_1.jpg;https://example.com/product9_2.jpg
Electronics,https://example.com/avatar10.jpg,Asus ROG Laptop,17693913,21232695,2025-11-11T19:00:00,2025-11-18T19:00:00,"Sản phẩm Asus ROG Laptop chất lượng cao, hàng chính hãng.",10,200000,14155130,https://example.com/product10_1.jpg;https://example.com/product10_2.jpg